Gene,Lineage,Tissue,NL->IT_change,NL->IT_p,NL->IT_sig,NL->IT_cons,NL->IA_change,NL->IA_p,NL->IA_sig,NL->IA_cons,NL->AR_change,NL->AR_p,NL->AR_sig,NL->AR_cons,IA->AR_change,IA->AR_p,IA->AR_sig,IA->AR_cons,IT->IA_change,IT->IA_p,IT->IA_sig,IT->IA_cons
GNLY,CD8_T,Liver,+88.1%,0.9372,,19/36,+1.8%,0.9307,,16/30,+128.7%,0.0238,*,18/18,+124.6%,0.0714,(t),14/15,-45.9%,0.5368,,19/30
GNLY,CD8_T,Blood,+9.6%,0.6905,,15/25,-37.6%,0.5556,,13/20,+155.8%,0.0357,*,15/15,+310.0%,0.0571,(t),12/12,-43.1%,0.1905,,16/20
GNLY,NK,Blood,+14.6%,0.2222,,19/25,-6.2%,0.9048,,9/20,+21.8%,0.0357,*,15/15,+29.8%,0.1143,,11/12,-18.1%,0.4127,,14/20
GNLY,PlasmaB,Liver,-100.0%,0.223,,10/30,+222.0%,0.9076,,6/30,+11297.2%,0.0219,*,18/18,+3439.1%,0.0262,*,15/15,from_zero,0.4237,,5/25
FOXP3,CD4_T,Liver,+153.7%,0.0931,(t),29/36,+255.0%,0.0043,*,30/30,+50.4%,0.5476,,12/18,-57.6%,0.0357,*,15/15,+40.0%,0.6623,,18/30
FOXP3,CD8_T,Liver,+1247.4%,0.045,*,31/36,+157.4%,0.407,,19/30,+2.2%,0.8969,,8/18,-60.3%,0.5714,,10/15,-80.9%,0.329,,21/30
FOXP3,CD8_T,Blood,+358.8%,0.2652,,15/25,+1053.4%,0.0179,*,20/20,+295.3%,0.1266,,13/15,-65.7%,0.0571,(t),12/12,+151.4%,0.1099,,17/20
FOXP3,NK,Liver,+526.1%,0.1044,,24/36,+1107.0%,0.0444,*,24/30,+172.5%,0.8781,,6/18,-77.4%,0.3594,,10/15,+92.8%,0.519,,18/30
LAYN,Myeloid,Blood,from_zero,0.0254,*,20/25,from_zero,0.0416,*,15/20,from_zero,0.0168,*,15/15,+119.3%,0.8571,,7/12,+13.4%,0.8057,,11/20
LAYN,CD4_T,Liver,+430.5%,0.0087,*,34/36,+258.8%,0.1255,,24/30,+55.7%,0.9048,,10/18,-56.6%,0.5714,,10/15,-32.4%,1.0,,15/30
LAYN,NK,Blood,-38.4%,0.8325,,13/25,+62.9%,0.9021,,11/20,-96.8%,0.3406,,9/15,-98.1%,0.0497,*,12/12,+164.4%,0.2857,,15/20
LAYN,B,Liver,-0.0%,1.0,,0/30,from_zero,0.0484,*,18/30,-0.0%,1.0,,0/18,-100.0%,0.1719,,9/15,from_zero,0.072,(t),15/25
TIGIT,Myeloid,Blood,from_zero,0.1797,,10/25,from_zero,0.0108,*,20/20,from_zero,0.3017,,5/15,-98.7%,0.0497,*,12/12,+369.0%,0.1706,,16/20
TIGIT,CD4_T,Liver,+123.8%,0.0152,*,33/36,+157.4%,0.0087,*,29/30,+131.5%,0.0952,(t),16/18,-10.0%,1.0,,8/15,+15.0%,0.5368,,19/30
TIGIT,CD8_T,Liver,+151.5%,0.0043,*,35/36,+186.0%,0.0823,(t),25/30,+198.1%,0.0238,*,18/18,+4.2%,0.7857,,6/15,+13.7%,0.4286,,20/30
TIGIT,B,Liver,+367.2%,0.1693,,17/30,+1437.6%,0.0285,*,24/30,+856.0%,0.2198,,11/18,-37.8%,0.4534,,10/15,+229.1%,0.2045,,18/25
TIGIT,PlasmaB,Blood,from_zero,0.072,(t),15/25,from_zero,0.1312,,10/20,from_zero,0.0168,*,15/15,+23.2%,0.8584,,7/12,+32.3%,1.0,,8/20
DNMT1,Myeloid,Liver,+125.2%,0.0022,*,36/36,+49.7%,0.329,,21/30,+75.6%,0.0952,(t),16/18,+17.3%,1.0,,7/15,-33.5%,0.2468,,22/30
DNMT1,Myeloid,Blood,+163.8%,0.0079,*,25/25,+179.8%,0.0159,*,20/20,+175.7%,0.0357,*,15/15,-1.5%,0.8571,,5/12,+6.0%,0.9048,,11/20
DNMT1,CD4_T,Blood,+42.0%,0.0556,(t),22/25,+41.8%,0.1111,,17/20,+45.4%,0.0357,*,15/15,+2.6%,1.0,,6/12,-0.2%,1.0,,10/20
DNMT1,CD8_T,Blood,+35.5%,0.0556,(t),22/25,+29.4%,0.4127,,14/20,+37.2%,0.0357,*,15/15,+6.1%,1.0,,6/12,-4.5%,1.0,,10/20
DNMT1,NK,Blood,+64.3%,0.0317,*,23/25,+74.5%,0.0317,*,19/20,+67.1%,0.0357,*,15/15,-4.2%,0.8571,,7/12,+6.2%,0.7302,,12/20
DNMT1,PlasmaB,Liver,+161.5%,0.0823,(t),25/30,+237.0%,0.0087,*,29/30,+25.6%,0.5476,,12/18,-62.7%,0.0357,*,15/15,+28.9%,0.5476,,16/25
CTLA4,CD4_T,Liver,+171.1%,0.0043,*,35/36,+163.1%,0.0303,*,27/30,+133.8%,0.0952,(t),16/18,-11.1%,0.7857,,9/15,-3.0%,0.9307,,16/30
CTLA4,CD8_T,Liver,+257.7%,0.0649,(t),30/36,+583.8%,0.0173,*,28/30,+470.7%,0.0238,*,18/18,-16.5%,1.0,,8/15,+91.2%,0.2468,,22/30
CTLA4,CD8_T,Blood,-71.5%,0.0079,*,25/25,+43.3%,0.2857,,5/20,-57.2%,0.3929,,11/15,-70.1%,0.4,,3/12,+403.0%,0.9048,,9/20
CTLA4,NK,Liver,+178.4%,0.2946,,24/36,+391.7%,0.0353,*,27/30,+178.8%,0.0919,(t),16/18,-43.3%,0.7857,,9/15,+76.6%,0.329,,21/30
CTLA4,B,Liver,-0.0%,1.0,,0/30,from_zero,0.0484,*,18/30,-0.0%,1.0,,0/18,-100.0%,0.1719,,9/15,from_zero,0.072,(t),15/25
TOX,Myeloid,Liver,+1856.8%,0.0043,*,36/36,-24.6%,0.9076,,8/30,+299.1%,0.2031,,12/18,+429.3%,0.1719,,10/15,-96.1%,0.0067,*,30/30
TOX,CD4_T,Liver,+100.7%,0.0087,*,34/36,+70.2%,0.1255,,24/30,+67.0%,0.0238,*,18/18,-1.9%,0.5714,,10/15,-15.2%,0.9307,,14/30
TOX,CD8_T,Liver,+86.6%,0.0022,*,36/36,+94.2%,0.1255,,24/30,+85.9%,0.0238,*,18/18,-4.3%,0.5714,,10/15,+4.1%,0.329,,21/30
TOX,B,Liver,+94.5%,0.3109,,20/30,+244.1%,0.0353,*,27/30,+160.7%,0.1539,,15/18,-24.2%,0.7857,,9/15,+76.9%,0.5476,,16/25
GZMB,CD8_T,Liver,+4.6%,0.6991,,21/36,-40.7%,0.1255,,24/30,+37.5%,0.2619,,14/18,+131.9%,0.0357,*,15/15,-43.3%,0.0519,(t),26/30
GZMB,PlasmaB,Liver,+297.7%,0.0087,*,29/30,+232.3%,0.0519,(t),26/30,+265.2%,0.0476,*,17/18,+9.9%,0.7857,,9/15,-16.5%,0.5476,,16/25
PRF1,Myeloid,Liver,from_zero,0.0096,*,30/36,from_zero,0.3613,,6/30,-0.0%,1.0,,0/18,-100.0%,0.6056,,3/15,-20.5%,0.2133,,20/30
PRF1,CD4_T,Liver,-18.9%,0.0931,(t),29/36,-39.0%,0.0303,*,27/30,-26.8%,0.1667,,15/18,+19.9%,0.5714,,10/15,-24.8%,0.1255,,24/30
GZMK,Myeloid,Liver,+248.3%,0.2946,,25/36,-94.3%,0.2448,,15/30,+28.9%,0.7874,,9/18,+2175.8%,0.3055,,9/15,-98.4%,0.0116,*,29/30
GZMK,CD4_T,Liver,+23.3%,0.0931,(t),29/36,-0.1%,0.7922,,13/30,+42.7%,0.0238,*,18/18,+42.7%,0.0714,(t),14/15,-19.0%,0.1775,,23/30
